dataset,model,tokenizer,budget_mode,acc,drift_acc,avg_len,p95_len,n_params,params_m,vocab,max_len,total_tokens,total_steps,majority_train_frac,majority_test_acc,seed,_source
csic2010,small,CIT,token_fair,0.9002,0.9002,213.3634,402,3815426,3.815426,2048,512,5000000,0,0.5423,0.5426,1,results/paper/e2_budget_sweep/tok5M/seed1/results_token_fair.csv
csic2010,tiny,BPE,token_fair,0.8076,0.4888,327.0838,513,724738,0.724738,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,tiny,WordPiece,token_fair,0.8426,0.4838,329.2552,523,724738,0.724738,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,tiny,Unigram,token_fair,0.7486,0.7492,399.6362,598,724738,0.724738,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,tiny,Bytes,token_fair,0.638,0.443,785.4556,1057,724738,0.724738,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,tiny,CIT,token_fair,0.8932,0.8932,218.015,414,724738,0.724738,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,small,BPE,token_fair,0.8804,0.507,327.0838,513,3815426,3.815426,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,small,WordPiece,token_fair,0.9022,0.5032,329.2552,523,3815426,3.815426,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,small,Unigram,token_fair,0.8046,0.8016,399.6362,598,3815426,3.815426,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,small,Bytes,token_fair,0.6482,0.4462,785.4556,1057,3815426,3.815426,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
csic2010,small,CIT,token_fair,0.9044,0.9044,218.015,414,3815426,3.815426,2048,512,5000000,0,0.5435,0.5538,2,results/paper/e2_budget_sweep/tok5M/seed2/results_token_fair.csv
